County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Houston County  6,4,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,476.6 
Lee County  6,13,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,392.7 
Limestone County  6,4,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,328.5 
Baldwin County  6,5,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,289.8 
Jefferson County  6,25,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,288.1 
Madison County  6,29,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,278.3 
Montgomery County  6,13,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,257.4 
Mobile County  6,18,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,236.1 
Calhoun County  6,3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,231.3 
Shelby County  6,9,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,223.4 
Tuscaloosa County  6,5,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,210.9 
Chilton County  6,4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,487.1 
Morgan County  6,13,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,429.5 
Coffee County  6,6,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,382.8 
DeKalb County  6,11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,331.1 
Limestone County  6,7,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,319.3 
