average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
869,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,447.6 ,"Mohave County, AZ",52.42857143,204574,205412,207017,209292,212181,AZ,40360,42003,42210,45129,49712
696,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.3 ,"Mohave County, AZ",52.42857143,204574,205412,207017,209292,212181,AZ,40360,42003,42210,45129,49712
912,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,436.3 ,"Yavapai County, AZ",56.0,220805,224575,228082,231772,235099,AZ,47220,49824,49860,48758,54242
793,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.3 ,"Yavapai County, AZ",56.0,220805,224575,228082,231772,235099,AZ,47220,49824,49860,48758,54242
2663,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,423.4 ,"Pima County, AZ",56.5,1009103,1016707,1026391,1036554,1047279,AZ,47107,47644,51392,53395,56150
2545,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.5 ,"Pima County, AZ",56.5,1009103,1016707,1026391,1036554,1047279,AZ,47107,47644,51392,53395,56150
377,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,422.4 ,"Cochise County, AZ",58.0,126454,125686,124864,126411,125922,AZ,43451,45151,48966,49164,48650
315,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,354.8 ,"Cochise County, AZ",58.0,126454,125686,124864,126411,125922,AZ,43451,45151,48966,49164,48650
9131,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,414.4 ,"Maricopa County, AZ",56.125,4172905,4256143,4327184,4402403,4485414,AZ,56017,58742,62221,65234,68634
9272,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,376.7 ,"Maricopa County, AZ",56.125,4172905,4256143,4327184,4402403,4485414,AZ,56017,58742,62221,65234,68634
500,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,399.5 ,"Yuma County, AZ",50.0,205186,207247,209507,211612,213787,AZ,40426,42998,46013,44116,47024
421,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,345.2 ,"Yuma County, AZ",50.0,205186,207247,209507,211612,213787,AZ,40426,42998,46013,44116,47024
