average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
411,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,341.4 ",-1.3 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
220,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,254.2 ,0.4 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
251,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,857.7 ",-1.4 ,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,AL,37911,40555,41733,41630,47719
58,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,120.5 ,2.0 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
400,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,247.2 ",-0.3 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
201,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,238.1 ,0.5 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
258,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,766.3 ",-0.2 ,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,AL,39290,41543,45925,45796,50897
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.6 ,0.4 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
189,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,436.2 ",-0.3 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
95,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,260.3 ,0.0 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
118,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,019.0 ",-0.5 ,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,AL,41771,43107,42912,43909,47797
26,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.6 ,2.3 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
218,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,430.5 ",0.1 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
117,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,276.9 ,1.3 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
127,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,889.7 ",-2.5 ,"Dallas County, AL",50.0,40936,40080,39238,38294,37196,AL,29682,30488,31329,34035,34034
73,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,119.0 ,1.0 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
433,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,360.2 ",-0.1 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
253,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,254.5 ,0.9 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
253,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,883.8 ",-0.6 ,"Limestone County, AL",49.75,91565,92847,94130,96177,98915,AL,55060,52181,57342,64863,64729
67,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.5 ,0.8 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
457,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,310.1 ",-0.6 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
242,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,252.1 ,0.5 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
283,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,797.1 ",-1.1 ,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,AL,40599,42117,42751,46233,48913
7,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.4 ,1.9 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101,AL,28251,34278,29113,29267,31906
54,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,464.6 ",-0.5 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101,AL,28251,34278,29113,29267,31906
24,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,227.1 ,0.0 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101,AL,28251,34278,29113,29267,31906
37,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,297.9 ",1.9 ,"Bullock County, AL",61.0,10400,10389,10176,10174,10101,AL,28251,34278,29113,29267,31906
14,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,118.4 ,1.5 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,AL,35163,36639,36432,39556,40005
107,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,194.2 ",0.3 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,AL,35163,36639,36432,39556,40005
57,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,245.3 ,0.7 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,AL,35163,36639,36432,39556,40005
65,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,601.1 ",0.1 ,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,AL,35163,36639,36432,39556,40005
13,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.9 ,0.5 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448,AL,33868,35409,36842,37365,39944
102,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,248.8 ",0.5 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448,AL,33868,35409,36842,37365,39944
52,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,251.5 ,0.8 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448,AL,33868,35409,36842,37365,39944
63,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,663.9 ",0.2 ,"Butler County, AL",60.0,20162,20012,19888,19631,19448,AL,33868,35409,36842,37365,39944
34,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.4 ,1.8 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
242,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,364.3 ",-0.3 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
126,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,253.1 ,0.4 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
151,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,903.4 ",-0.3 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
62,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,117.3 ,1.9 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,AL,43008,44124,46646,48707,48188
464,falling,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,229.7 ",-1.0 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,AL,43008,44124,46646,48707,48188
228,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,239.7 ,0.7 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,AL,43008,44124,46646,48707,48188
