average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
5,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,289.8 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,218.0 ,"Baldwin County, AL",,202939,207601,212521,217855,223234,AL,52387,56460,56607,57588,59871
570,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,452.5 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
7,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,234.7 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
564,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.7 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
549,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,447.0 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
13,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,257.4 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
9,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,244.5 ,"Montgomery County, AL",48.4,227279,227170,227265,226504,226486,AL,42666,45111,45833,49640,52711
213,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,451.8 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
212,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,455.2 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
24,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.8 ,"Covington County, AL",54.0,37556,37382,37062,36953,37049,AL,36355,35010,39093,40203,44836
169,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,449.9 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
167,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,460.8 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
91,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,351.0 ,"Russell County, AL",46.0,58844,58185,56985,57784,57961,AL,36124,38617,36186,39104,43670
48,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,449.8 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
48,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,454.8 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
32,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,448.4 ,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,AL,29981,29758,30796,32613,41539
151,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,448.0 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
151,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,453.4 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,422.0 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
7,Alabama,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,436.6 ,"Escambia County, AL",53.0,37661,37475,36993,36524,36633,AL,36840,35096,37870,38418,42712
304,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,447.3 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
302,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,449.5 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
