Age-Adjusted Death Rate,Age-Adjusted Incidence Rate,County,Primary_State_Name
189.3,489.8,Noxubee County, Mississippi
189.3,422.8,Holt County, Missouri
189.3,476.5,Mercer County, West Virginia
189.2,541.9,Trousdale County, Tennessee
189.2,493.3,Caswell County, North Carolina
189.2,334.4,Jackson County, Florida
189.2,451.2,Lake County, California
189.1,474.3,Brooks County, Georgia
189.1,477.7,Henderson County, Kentucky
189,582.1,Lee County, Georgia
189,490.8,Dixie County, Florida
189,444.6,Pike County, Indiana
188.9,482.2,Hickman County, Tennessee
188.9,497.5,Muhlenberg County, Kentucky
188.8,471.7,Beauregard Parish, Louisiana
188.8,549,Jones County, South Dakota
188.8,454.3,Decatur County, Georgia
188.8,460.1,Ashtabula County, Ohio
188.8,473.9,Kleberg County, Texas
188.7,468.4,Vigo County, Indiana
188.7,554.2,Hitchcock County, Nebraska
188.7,488.2,Allen Parish, Louisiana
188.7,443.7,Halifax County with South Boston City, Virginia
188.7,463,Essex County, Vermont
188.6,521.2,Hardin County, Ohio
188.6,415.7,Sioux County, North Dakota
188.6,464.5,Blaine County, Oklahoma
188.5,487.5,Nelson County, Virginia
188.4,426.3,Adair County, Missouri
188.4,487.8,Howard County, Indiana
188.4,402.6,Atoka County, Oklahoma
188.4,529.9,Mercer County, Illinois
188.4,522,Iron County, Missouri
188.3,487.6,Greene County, Tennessee
188.3,429.1,Hill County, Montana
188.3,473.3,Sumter County, Alabama
188.2,471.1,Williamsburg County, South Carolina
188.2,467.5,Sanilac County, Michigan
188.2,522.9,Newton County, Georgia
188.2,407.5,DeKalb County, Tennessee
188.1,496.5,Sevier County, Tennessee
188.1,506.8,Chambers County, Alabama
188,450.5,Hampshire County, West Virginia
188,537.9,Essex County, Virginia
188,* ,Morton County, Kansas
188,493.2,Dorchester County, Maryland
187.9,468,DeSoto County, Mississippi
187.8,461,Lee County, Texas
187.8,513.2,Green County, Kentucky
187.7,499.3,Raleigh County, West Virginia
187.7,469.2,Amelia County, Virginia
187.7,401.9,Bates County, Missouri
187.6,503.4,Cumberland County, New Jersey
187.6,509.2,Kankakee County, Illinois
187.6,476.9,Cocke County, Tennessee
187.6,600.5,Bracken County, Kentucky
187.5,296.6,Holmes County, Florida
187.5,503,Morgan County, Missouri
187.5,482.2,Owen County, Indiana
187.4,454.3,Edgecombe County, North Carolina
187.4,467.7,Jay County, Indiana
187.3,478.1,Baxter County, Arkansas
187.2,461.2,Wichita County, Texas
187.2,459.3,Lincoln County, Mississippi
187.2,510.2,Forest County, Wisconsin
187.2,350.4,Hickory County, Missouri
187.2,427.5,Iron County, Wisconsin
187.2,468.9,Grant County, Oklahoma
187.2,524.6,Hardin County, Kentucky
187.1,500.1,Marion County, Tennessee
187.1,461.5,Washburn County, Wisconsin
187,452.9,Tate County, Mississippi
187,515.1,East Feliciana Parish, Louisiana
186.8,550.7,Mercer County, Kentucky
186.8,457.9,Washington County, Missouri
186.7,505.6,Ben Hill County, Georgia
186.7,458,Orange County, Texas
186.7,476.2,Calhoun County, Mississippi
186.7,* ,Mille Lacs County, Minnesota
186.7,520,Decatur County, Iowa
186.7,458,Bamberg County, South Carolina
186.7,473.7,Greene County, Pennsylvania
186.7,508.4,Brown County, Illinois
186.6,501.4,Putnam County, Indiana
186.6,480.6,Coryell County, Texas
186.6,535.7,Rockcastle County, Kentucky
186.6,478.8,Berkeley County, West Virginia
186.6,490.8,Haywood County, Tennessee
186.6,479.6,Union County, Mississippi
186.6,496,Union County, Illinois
186.6,487.9,Perry County, Mississippi
186.5,413.2,Major County, Oklahoma
186.5,522.1,Gilmer County, West Virginia
186.5,409,Newton County, Missouri
186.5,459,Wilkes County, Georgia
186.4,487.4,Surry County, Virginia
186.4,431.6,Lincoln County, Oklahoma
186.4,492.7,Calcasieu Parish, Louisiana
186.3,420.3,Lake County, Michigan
186.2,495.6,Appanoose County, Iowa
186.2,450.2,Deuel County, South Dakota
