average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
201,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,531.0 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,AL,43008,44124,46646,48707,48188
57,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.4 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,AL,43008,44124,46646,48707,48188
153,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,877.0 ,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,AL,43008,44124,46646,48707,48188
6,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,AL,46858,48632,51998,55122,57299
101,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.6 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,AL,46858,48632,51998,55122,57299
33,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,57.3 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,AL,46858,48632,51998,55122,57299
74,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,895.5 ,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,AL,46858,48632,51998,55122,57299
7,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.2 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,AL,37305,37128,39906,39491,44277
140,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,545.5 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,AL,37305,37128,39906,39491,44277
43,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,55.7 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,AL,37305,37128,39906,39491,44277
105,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,906.0 ,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,AL,37305,37128,39906,39491,44277
16,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,17.1 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542,AL,46442,47749,51372,48937,54160
233,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,584.6 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542,AL,46442,47749,51372,48937,54160
81,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,53.9 ,"Lee County, AL",55.0,156954,159168,161440,163656,164542,AL,46442,47749,51372,48937,54160
169,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,003.8 ","Lee County, AL",55.0,156954,159168,161440,163656,164542,AL,46442,47749,51372,48937,54160
68,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.9 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,AL,48415,50109,50731,55013,54127
1299,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,576.7 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,AL,48415,50109,50731,55013,54127
428,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,58.6 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,AL,48415,50109,50731,55013,54127
939,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,952.9 ,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,AL,48415,50109,50731,55013,54127
38,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,16.8 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909,AL,59117,61193,62750,63755,68609
