County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Arkansas County  6,58,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,465.6 
Monroe County  6,27,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.0 
Cleburne County  6,94,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,461.2 
Lonoke County  6,187,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,460.8 
Boone County  6,123,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,460.3 
Grant County  6,54,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,454.9 
Conway County  6,67,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,454.6 
Perry County  6,33,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,454.5 
Franklin County  6,55,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,453.6 
Ashley County  6,66,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,452.9 
Craighead County  6,267,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,449.1 
Jefferson County  6,207,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,446.7 
Baxter County  6,169,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.1 
Yell County  6,62,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,443.4 
Jackson County  6,52,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.6 
Union County  6,120,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.4 
Faulkner County  6,276,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 
Sebastian County  6,346,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 
Pike County  6,31,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.7 
Hot Spring County  6,99,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.5 
Independence County  6,108,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.5 
Little River County  6,39,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,436.5 
Saline County  6,333,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,436.4 
Dallas County  6,25,Arkansas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,436.0 
